1, 16622798,
2, 3135121,
3, 3168401,
4, 3822476,
5, 3840822,
6, 3468345,
7, 3098002,
8, 3438906,
9, 2939710,
10, 5250518,
11, 3543012,
12, 3190161,
13, 9923333,
14, 3676130,
15, 3804130,
16, 3022909,
17, 5154518,
18, 3225574,
19, 3195708,
20, 3089468,
21, 4724015,
22, 3141948,
23, 3287867,
24, 3018642,
25, 3253307,
26, 3086909,
27, 4022581,
28, 3457252,
29, 3362959,
30, 6495521,
31, 3640717,
32, 3194854,
33, 3100562,
34, 3298106,
35, 2932883,
36, 3548557,
37, 4724442,
38, 4693722,
39, 3641997,
40, 3163281,
41, 3012669,
42, 7623191,
43, 3214054,
44, 3717943,
45, 4547377,
46, 5798779,
47, 4120287,
48, 3255440,
49, 3362960,
50, 3179067,
51, 4279005,
52, 3656077,
53, 4057994,
54, 2957203,
55, 2830057,
56, 5014573,
57, 2888510,
58, 4505137,
59, 2850110,
60, 4221832,
61, 2982375,
62, 3280613,
63, 3030589,
64, 3402639,
65, 2868457,
66, 2681578,
67, 5192918,
68, 4439857,
69, 3708556,
70, 3027176,
71, 3372772,
72, 5832913,
73, 2923923,
74, 3264400,
75, 3006696,
76, 19035153,
77, 6780532,
78, 3051496,
79, 3348879,
80, 2792511,
81, 2987923,
82, 2882964,
83, 2472087,
84, 3163708,
85, 3497359,
86, 2677311,
87, 2586859,
88, 3059175,
89, 2980669,
90, 3237947,
91, 3369360,
92, 6228430,
93, 3248613,
94, 3983328,
95, 3457252,
96, 3314746,
97, 2933310,
98, 3835703,
99, 3199120,
100, 5388330,
101, 2918803,
102, 3102695,
103, 3021629,
104, 3921888,
105, 23123012,
106, 4386524,
107, 4642522,
108, 3470479,
109, 6841117,
110, 3602744,
111, 2911123,
112, 3546852,
113, 3158161,
114, 3483705,
115, 2962323,
116, 4820867,
117, 8248680,
118, 3874529,
119, 3607011,
120, 3703863,
121, 3859169,
122, 2652138,
123, 2899603,
124, 3538744,
125, 5746727,
126, 3057895,
127, 3365946,
128, 4337032,
129, 4060980,
130, 3091602,
131, 5824806,
132, 6987890,
133, 3046801,
134, 3697463,
135, 3876236,
136, 6467788,
137, 4631002,
138, 5090945,
139, 4984280,
140, 4587483,
141, 4523483,
142, 3019496,
143, 3063442,
144, 3909515,
145, 2988775,
146, 2809577,
147, 3711543,
148, 3149628,
149, 3704717,
150, 3781942,
151, 3202107,
152, 5506942,
153, 3450852,
154, 2622273,
155, 2464406,
156, 3055335,
157, 3452132,
158, 3037415,
159, 4004660,
160, 2901310,
161, 4008927,
162, 2929896,
163, 2841150,
164, 2949523,
165, 2748565,
166, 2676885,
167, 3054908,
168, 3583544,
169, 2594539,
170, 3120188,
171, 2701204,
172, 3493091,
173, 2577899,
174, 2867177,
175, 2896617,
176, 2731498,
177, 2607339,
178, 3054056,
179, 2558272,
180, 2541632,
181, 2697365,
182, 3020776,
183, 3916341,
184, 2925203,
185, 3002002,
186, 2747711,
187, 3036989,
188, 3567758,
189, 2728938,
190, 2485313,
191, 2850110,
192, 3503332,
193, 6220322,
194, 2803177,
195, 2952083,
196, 2707604,
197, 2796778,
198, 3442319,
199, 2722111,
200, 2849683,
201, 2723391,
202, 3028455,
203, 2655125,
204, 3616824,
205, 2875710,
206, 2917523,
207, 2718698,
208, 2737471,
209, 2734058,
210, 12003316,
211, 4347698,
212, 4318258,
213, 3295546,
214, 3361680,
215, 4040928,
216, 3483705,
217, 4831961,
218, 4218846,
219, 3943221,
220, 3109095,
221, 5506516,
222, 3417999,
223, 7817323,
224, 4413404,
225, 2937576,
226, 2882110,
227, 2833897,
228, 2687125,
229, 2999442,
230, 2899176,
231, 3602744,
232, 3433785,
233, 3164988,
234, 3965408,
235, 3556238,
236, 3003283,
237, 3113361,
238, 3255441,
239, 3703863,
240, 8156947,
241, 3424399,
242, 3663757,
243, 3753783,
244, 3034855,
245, 16892450,
246, 3876236,
247, 2655125,
248, 3786636,
249, 3708557,
250, 2604779,
251, 2731498,
252, 2824510,
253, 2673471,
254, 2780564,
255, 3243921,
256, 2887230,
257, 6047525,
258, 3176507,
259, 3854048,
260, 4281991,
261, 2998589,
262, 2723818,
263, 2600086,
264, 3658637,
265, 3923168,
266, 2697791,
267, 3283173,
268, 2856936,
269, 3032295,
270, 3156454,
271, 3608291,
272, 3059601,
273, 3810529,
274, 2563393,
275, 2982376,
276, 3938528,
277, 3332667,
278, 2719551,
279, 2625259,
280, 4414685,
281, 12289607,
282, 4020021,
283, 3157308,
284, 2711871,
285, 2826217,
286, 2795497,
287, 3172241,
288, 3877089,
289, 3480291,
290, 2478486,
291, 2727657,
292, 2964883,
293, 2788244,
294, 2822377,
295, 40293220,
296, 2763925,
297, 3189734,
298, 3175654,
299, 4189406,
300, 2913683,
301, 2891070,
302, 2984509,
303, 4735108,
304, 2552299,
305, 4251272,
306, 3369786,
307, 3657357,
308, 3075388,
309, 2599232,
310, 2792511,
311, 3648824,
312, 5082412,
313, 3554104,
314, 3106961,
315, 2882537,
316, 3271654,
317, 4423644,
318, 3947488,
319, 7071943,
320, 2701631,
321, 3640718,
322, 3308773,
323, 2571926,
324, 2911976,
325, 3865995,
326, 3444878,
327, 2495553,
328, 3192721,
329, 4306311,
330, 3526798,
331, 3204241,
332, 3809249,
333, 2884670,
334, 3597624,
335, 3009256,
336, 3362106,
337, 2962750,
338, 3184188,
339, 3909089,
340, 2563393,
341, 2796777,
342, 3016509,
343, 2748138,
344, 3655651,
345, 2793791,
346, 2670058,
347, 3121895,
348, 3645837,
349, 3180348,
350, 3146641,
351, 3178641,
352, 4132660,
353, 2731498,
354, 2672618,
355, 3348453,
356, 4146739,
357, 4234632,
358, 3076242,
359, 3504612,
360, 3149628,
361, 3495225,
362, 3569464,
363, 3496932,
364, 3435066,
365, 2641472,
366, 3332240,
367, 3085628,
368, 2966163,
369, 2695231,
370, 2592405,
371, 2906856,
372, 2553580,
373, 3210641,
374, 3226001,
375, 3627491,
376, 3728183,
377, 3217894,
378, 3143655,
379, 3208934,
380, 2920510,
381, 2591979,
382, 2972563,
383, 2679872,
384, 5281237,
385, 3054482,
386, 3092881,
387, 3294267,
388, 2860777,
389, 4587482,
390, 3163708,
391, 3114215,
392, 3056188,
393, 3308347,
394, 2597952,
395, 3412452,
396, 3765730,
397, 3335653,
398, 2917523,
399, 3139815,
400, 3312187,
401, 3364239,
402, 3527652,
